lineage,old_label,new_label,N
TNKILC,cTNI07 (CD4+ CXCL13+),NK-XCL1,2
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd8-HOBIT,27
TNKILC,cTNI25 (NK XCL1+),Tcd4-TFH,3
TNKILC,cTNI18 (gd-like T PDCD1+),Tcd4-Treg-prolif,13
TNKILC,cTNI10 (CD8+ IL7R+),Tcd8-CXCL13-prolif,8
TNKILC,cTNI17 (gd-like T),NK-XCL1,29
TNKILC,cTNI10 (CD8+ IL7R+),NK-CD16,16
TNKILC,cTNI01 (CD4+ IL7R+),ILC3,67
TNKILC,cTNI17 (gd-like T),Tcd4-Treg-prolif,41
TNKILC,cTNI11 (CD8+GZMK+),Tcd4-Treg,5
TNKILC,cTNI17 (gd-like T),Tplzf-gdlike-prolif,25
TNKILC,cTNI09 (CD4+ Treg prolif),Tplzf-gdlike-prolif,18
TNKILC,cTNI22 (cTNI22),Tcd4-CXCL13,10
TNKILC,cTNI02 (CD4+ IL7R+SELL+),Tplzf-gdlike,3
TNKILC,cTNI11 (CD8+GZMK+),Tcd8-CXCL13-prolif,8
TNKILC,cTNI08 (CD4+ Treg),Tcd8-CXCL13-LAG3,3
TNKILC,cTNI12 (CD8+ IL7R+),Tcd8-gdlike,26
TNKILC,cTNI12 (CD8+ IL7R+),Tcd8-CXCL13,35
TNKILC,cTNI04 (CD4+ IL7R+CCL5+),Tcd8-CXCL13,6
TNKILC,cTNI20 (PLZF+ T),Tcd4-TFH,8
TNKILC,cTNI20 (PLZF+ T),Tcd8-CXCL13-LAG3,38
TNKILC,cTNI20 (PLZF+ T),Tcd8-GZMK,32
TNKILC,cTNI20 (PLZF+ T),Tcd4-Treg-prolif,12
TNKILC,cTNI19 (gd-like T prolif),Tcd8-CXCL13-LAG3,78
TNKILC,cTNI08 (CD4+ Treg),ILC3,31
TNKILC,cTNI08 (CD4+ Treg),Tplzf-gdlike-prolif,2
TNKILC,cTNI26 (ILC3),Tplzf-gdlike,14
TNKILC,cTNI12 (CD8+ IL7R+),ILC3,46
TNKILC,cTNI06 (CD4+ TFH),Tcd8-CXCL13,4
TNKILC,cTNI03 (CD4+ IL7R+HSP+),Tcd4-Treg-prolif,5
TNKILC,cTNI10 (CD8+ IL7R+),NK-XCL1,2
TNKILC,cTNI10 (CD8+ IL7R+),Tplzf-gdlike,7
TNKILC,cTNI03 (CD4+ IL7R+HSP+),NK-CD16,8
TNKILC,cTNI06 (CD4+ TFH),Tplzf-gdlike,1
TNKILC,cTNI01 (CD4+ IL7R+),Tplzf-gdlike,1
TNKILC,cTNI06 (CD4+ TFH),Tcd8-gdlike,1
TNKILC,cTNI19 (gd-like T prolif),Tplzf-gdlike-prolif,36
TNKILC,cTNI19 (gd-like T prolif),Tcd8-CXCL13,25
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd8-CXCL13,21
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd4-IL7R,23
TNKILC,cTNI12 (CD8+ IL7R+),NK-CD16,37
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd8-CXCL13-LAG3,18
TNKILC,cTNI17 (gd-like T),ILC3,52
TNKILC,cTNI10 (CD8+ IL7R+),Tplzf-gdlike-prolif,1
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),NK-CD16,16
TNKILC,cTNI12 (CD8+ IL7R+),Tcd4-CXCL13,76
TNKILC,cTNI12 (CD8+ IL7R+),Tcd4-Treg-prolif,8
TNKILC,cTNI20 (PLZF+ T),Tcd4-Treg,9
TNKILC,cTNI21 (PLZF+ T prolif),ILC3,2
TNKILC,cTNI12 (CD8+ IL7R+),Tcd4-IL7R,48
TNKILC,cTNI24 (NK GZMK+),Tcd8-CXCL13,3
TNKILC,cTNI23 (NK CD16A+),Tcd8-CXCL13-LAG3,2
TNKILC,cTNI25 (NK XCL1+),Tcd4-CXCL13,2
TNKILC,cTNI21 (PLZF+ T prolif),NK-CD16,14
TNKILC,cTNI18 (gd-like T PDCD1+),Tcd4-TFH,22
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),ILC3,34
TNKILC,cTNI17 (gd-like T),Tcd4-TFH,24
TNKILC,cTNI26 (ILC3),Tcd4-TFH,7
TNKILC,cTNI18 (gd-like T PDCD1+),Tplzf-gdlike-prolif,4
TNKILC,cTNI22 (cTNI22),Tcd8-CXCL13,15
TNKILC,cTNI25 (NK XCL1+),Tcd8-GZMK,6
TNKILC,cTNI19 (gd-like T prolif),NK-CD16,22
TNKILC,cTNI01 (CD4+ IL7R+),Tcd8-GZMK,16
TNKILC,cTNI11 (CD8+GZMK+),Tplzf-gdlike-prolif,1
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd8-CXCL13-prolif,3
TNKILC,cTNI18 (gd-like T PDCD1+),Tcd8-CXCL13-prolif,14
TNKILC,cTNI09 (CD4+ Treg prolif),ILC3,4
