MMRstatus,population,xbin,ybin,x_mid,y_mid,n_pat,n_pat_arm,passes
MMRd,Myeloid-mregDC,"(-25,-20]","(5.11,5.84]",-22.5,5.47057314652416,2,8,FALSE
MMRd,Myeloid-ISG,"(-25,-20]","(5.11,5.84]",-22.5,5.47057314652416,7,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-25,-20]","(5.11,5.84]",-22.5,5.47057314652416,7,8,TRUE
MMRd,Tcd4-Treg-comb,"(-25,-20]","(5.11,5.84]",-22.5,5.47057314652416,6,8,TRUE
MMRd,Tcd8-CXCL13-LAG3,"(-25,-20]","(5.11,5.84]",-22.5,5.47057314652416,2,8,FALSE
MMRd,CD8-all,"(-25,-20]","(5.11,5.84]",-22.5,5.47057314652416,5,8,TRUE
MMRd,Tcd8-CXCL13-comb,"(-25,-20]","(5.11,5.84]",-22.5,5.47057314652416,2,8,FALSE
MMRd,Tcd8-HOBIT,"(-25,-20]","(5.11,5.84]",-22.5,5.47057314652416,4,8,TRUE
MMRd,Tplzf-gdlike-comb,"(-25,-20]","(5.11,5.84]",-22.5,5.47057314652416,3,8,FALSE
MMRd,Myeloid-ISG,"(-25,-20]","(5.84,6.56]",-22.5,6.19998289939405,2,8,FALSE
MMRd,Myeloid-noDC-noGran,"(-25,-20]","(5.84,6.56]",-22.5,6.19998289939405,2,8,FALSE
MMRd,Myeloid-mregDC,"(-25,-20]","[0,0.729]",-22.5,0.364704876434944,6,8,TRUE
MMRd,Myeloid-ISG,"(-25,-20]","[0,0.729]",-22.5,0.364704876434944,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-25,-20]","[0,0.729]",-22.5,0.364704876434944,8,8,TRUE
MMRd,Tcd4-CXCL13,"(-25,-20]","[0,0.729]",-22.5,0.364704876434944,6,8,TRUE
MMRd,Tcd4-Treg-comb,"(-25,-20]","[0,0.729]",-22.5,0.364704876434944,8,8,TRUE
MMRd,Tcd8-HOBIT,"(-25,-20]","[0,0.729]",-22.5,0.364704876434944,7,8,TRUE
MMRd,CD8-all,"(-25,-20]","[0,0.729]",-22.5,0.364704876434944,8,8,TRUE
MMRd,Tplzf-gdlike-comb,"(-25,-20]","[0,0.729]",-22.5,0.364704876434944,7,8,TRUE
MMRd,Myeloid-ISG,"(-30,-25]","(2.19,2.92]",-27.5,2.55293413504461,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-30,-25]","(2.19,2.92]",-27.5,2.55293413504461,8,8,TRUE
MMRd,Tcd4-Treg-comb,"(-30,-25]","(2.19,2.92]",-27.5,2.55293413504461,8,8,TRUE
MMRd,Tcd8-GZMK,"(-30,-25]","(2.19,2.92]",-27.5,2.55293413504461,8,8,TRUE
MMRd,CD8-all,"(-30,-25]","(2.19,2.92]",-27.5,2.55293413504461,8,8,TRUE
MMRd,Myeloid-mregDC,"(-30,-25]","(2.92,3.65]",-27.5,3.2823438879145,7,8,TRUE
MMRd,Myeloid-ISG,"(-30,-25]","(2.92,3.65]",-27.5,3.2823438879145,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-30,-25]","(2.92,3.65]",-27.5,3.2823438879145,8,8,TRUE
MMRd,Tcd4-Treg-comb,"(-30,-25]","(2.92,3.65]",-27.5,3.2823438879145,8,8,TRUE
MMRd,Tcd8-GZMK,"(-30,-25]","(2.92,3.65]",-27.5,3.2823438879145,8,8,TRUE
MMRd,CD8-all,"(-30,-25]","(2.92,3.65]",-27.5,3.2823438879145,8,8,TRUE
MMRd,Tplzf-gdlike-comb,"(-30,-25]","(2.92,3.65]",-27.5,3.2823438879145,8,8,TRUE
MMRd,Myeloid-mregDC,"(-30,-25]","(3.65,4.38]",-27.5,4.01175364078438,7,8,TRUE
MMRd,Myeloid-ISG,"(-30,-25]","(3.65,4.38]",-27.5,4.01175364078438,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-30,-25]","(3.65,4.38]",-27.5,4.01175364078438,8,8,TRUE
MMRd,Tcd4-CXCL13,"(-30,-25]","(3.65,4.38]",-27.5,4.01175364078438,8,8,TRUE
MMRd,Tcd4-Treg-comb,"(-30,-25]","(3.65,4.38]",-27.5,4.01175364078438,7,8,TRUE
MMRd,Tcd8-HOBIT,"(-30,-25]","(3.65,4.38]",-27.5,4.01175364078438,6,8,TRUE
MMRd,CD8-all,"(-30,-25]","(3.65,4.38]",-27.5,4.01175364078438,7,8,TRUE
